qtid,semester_en,semester_kor,chapter_order,chapter_name,genre_order,genre_name,genre_subtitle,1,2,3,4,5,total_output_question,1,2,3,4,5,total_input_question
H1S1-02-06,H1S1,고등수학(상),2,나머지정리와 인수분해,6,나머지정리 (1),일차식으로 나누는 경우,12,16,21,10,0,59,2,3,12,0,0,17
H1S1-02-07,H1S1,고등수학(상),2,나머지정리와 인수분해,7,나머지정리 (2),이차식으로 나누는 경우,0,0,22,9,0,31,0,0,6,1,1,8
H1S1-02-08,H1S1,고등수학(상),2,나머지정리와 인수분해,8,나머지정리 (3),삼차식으로 나누는 경우,0,0,11,6,0,17,0,0,3,3,2,8
H1S1-02-09,H1S1,고등수학(상),2,나머지정리와 인수분해,9,나머지정리 (4),P(ax+b) 를 x−a로 나누는 경우,0,0,8,4,0,12,0,2,5,1,0,8
H1S1-02-10,H1S1,고등수학(상),2,나머지정리와 인수분해,10,나머지정리 (5),몫을 x−a 로 나누는 경우,0,0,10,5,0,15,1,0,6,2,0,9
H1S1-02-11,H1S1,고등수학(상),2,나머지정리와 인수분해,11,인수정리 (1),일차식으로 나누는 경우,1,15,17,3,0,36,1,0,7,0,1,9
H1S1-02-12,H1S1,고등수학(상),2,나머지정리와 인수분해,12,인수정리 (2),이차식으로 나누는 경우,0,4,10,5,2,21,0,0,5,2,1,8
H1S1-02-13,H1S1,고등수학(상),2,나머지정리와 인수분해,13,나머지정리의 활용,,0,1,5,4,2,12,0,0,5,3,2,10
H1S1-02-14,H1S1,고등수학(상),2,나머지정리와 인수분해,14,조립제법과 항등식,,3,4,6,12,0,25,0,0,9,1,1,11
H1S1-03-01,H1S1,고등수학(상),3,인수분해,1,인수분해의 기본,,17,17,23,3,0,60,2,5,12,0,1,20
H1S1-03-02,H1S1,고등수학(상),3,인수분해,2,치환을 이용한 인수분해,,0,9,23,10,2,44,0,0,8,0,0,8
H1S1-03-03,H1S1,고등수학(상),3,인수분해,3,복이차식의 인수분해,,0,5,13,3,0,21,1,0,8,0,1,10
H1S1-03-04,H1S1,고등수학(상),3,인수분해,4,내림차순을 이용한 인수분해,,0,6,21,6,1,34,1,0,10,3,1,15
H1S1-03-05,H1S1,고등수학(상),3,인수분해,5,순환꼴의 인수분해,,0,2,7,2,0,11,0,0,6,1,1,8
H1S1-03-06,H1S1,고등수학(상),3,인수분해,6,인수정리를 이용한 인수분해,,1,21,12,6,1,41,7,0,3,0,1,11
H1S1-03-07,H1S1,고등수학(상),3,인수분해,7,계수가 대칭인 사차식의 인수분해,,0,0,7,3,0,10,0,0,6,0,0,6
H1S1-03-08,H1S1,고등수학(상),3,인수분해,8,조건이 주어진 식의 인수분해,,0,0,5,8,0,13,0,0,5,1,0,6
H1S1-03-09,H1S1,고등수학(상),3,인수분해,9,인수분해의 활용 (1),삼각형 모양 판단,0,0,19,3,1,23,0,0,2,6,1,9
H1S1-03-10,H1S1,고등수학(상),3,인수분해,10,인수분해의 활용 (2),식의 값,0,2,20,12,0,34,0,0,5,1,1,7
H1S1-03-11,H1S1,고등수학(상),3,인수분해,11,인수분해의 활용 (3),수의 계산,0,2,19,3,0,24,0,0,11,2,2,15
H1S1-04-01,H1S1,고등수학(상),4,복소수,1,복소수의 뜻과 분류,,6,6,3,0,0,15,3,3,1,0,0,7
H1S1-04-02,H1S1,고등수학(상),4,복소수,2,복소수의 연산,,18,25,30,3,0,76,7,2,11,1,2,23
H1S1-04-03,H1S1,고등수학(상),4,복소수,3,복소수가 서로 같을 조건,,5,13,15,3,0,36,0,3,8,0,1,12
H1S1-04-04,H1S1,고등수학(상),4,복소수,4,복소수가 실수 또는 순허수가 되는 조건,,0,2,24,2,0,28,0,1,5,1,1,8
H1S1-04-05,H1S1,고등수학(상),4,복소수,5,켤레복소수를 포함한 식의 값,,2,4,30,12,0,48,1,1,15,3,3,23
H1S1-04-06,H1S1,고등수학(상),4,복소수,6,주어진 조건을 만족하는 복소수,,0,0,20,5,1,26,0,0,11,0,0,11
H1S1-04-07,H1S1,고등수학(상),4,복소수,7,i의 거듭제곱,,0,1,15,3,0,19,0,2,6,2,2,12
H1S1-04-08,H1S1,고등수학(상),4,복소수,8,복소수의 거듭제곱,,0,0,16,17,1,34,3,0,7,1,1,12
H1S1-04-09,H1S1,고등수학(상),4,복소수,9,음수의 제곱근,,4,17,22,5,0,48,1,4,13,2,2,22
H1S1-05-01,H1S1,고등수학(상),5,이차방정식,1,이차방정식의 풀이,,14,1,13,0,0,28,6,1,5,0,1,13
H1S1-05-02,H1S1,고등수학(상),5,이차방정식,2,이차방정식의 근이 주어진 경우,,0,1,13,1,0,15,3,0,9,0,1,13
H1S1-05-03,H1S1,고등수학(상),5,이차방정식,3,이차방정식이 절댓값 또는 가우스 기호를 포함한 경우,,0,2,12,7,0,21,0,0,9,5,1,15
H1S1-05-04,H1S1,고등수학(상),5,이차방정식,4,이차방정식의 활용,,0,0,11,4,0,15,0,0,4,2,0,6
H1S1-05-05,H1S1,고등수학(상),5,이차방정식,5,이차방정식의 근의 판별,,0,17,33,10,0,60,2,4,16,3,2,27
H1S1-05-06,H1S1,고등수학(상),5,이차방정식,6,이차방정식의 판별과 삼각형의 모양,,0,0,8,2,0,10,1,0,4,0,0,5
H1S1-05-07,H1S1,고등수학(상),5,이차방정식,7,이차식이 완전제곱식이 되는 조건,,0,2,7,1,0,10,0,2,4,0,0,6
H1S1-05-08,H1S1,고등수학(상),5,이차방정식,8,근과 계수의 관계,,0,16,35,16,0,67,2,2,18,1,3,26
H1S1-05-09,H1S1,고등수학(상),5,이차방정식,9,두 근의 조건이 주어진 이차방정식의 풀이,,0,1,30,7,0,38,1,1,24,0,2,28
H1S1-05-10,H1S1,고등수학(상),5,이차방정식,10,이차방정식 작성하기,,0,2,26,7,0,35,0,0,11,2,1,14
H1S1-05-11,H1S1,고등수학(상),5,이차방정식,11,잘못 보고 푼 이차방정식,,0,0,9,0,1,10,0,0,4,0,1,5
H1S1-05-12,H1S1,고등수학(상),5,이차방정식,12,이차식의 복소수범위 인수분해,,0,1,9,0,0,10,0,0,7,0,0,7
H1S1-05-13,H1S1,고등수학(상),5,이차방정식,13,이차방정식의 켤레근,,0,6,15,4,0,25,0,0,7,0,0,7
H1S1-05-14,H1S1,고등수학(상),5,이차방정식,14,이차방정식 f(x)=0 과 f(ax+b)=0 의 관계,,0,0,3,8,0,11,0,0,6,1,0,7
H1S1-05-15,H1S1,고등수학(상),5,이차방정식,15,"f(x)-k=0 형태의 두 근 α, β",,2,1,4,2,1,10,0,0,1,1,0,2
H1S1-06-01,H1S1,고등수학(상),6,이차방정식과 이차함수,1,이차함수의 그래프와 직선의 교점,"x축, x축이 아닌 직선",0,0,7,9,0,16,1,7,19,0,1,28
H1S1-06-02,H1S1,고등수학(상),6,이차방정식과 이차함수,2,이차함수의 그래프와 직선의 위치관계,"x축, x축이 아닌 직선",0,1,19,4,0,24,0,0,21,0,1,22
H1S1-06-03,H1S1,고등수학(상),6,이차방정식과 이차함수,3,이차함수의 그래프에 접하는 직선의 방정식,,1,2,8,3,0,14,3,0,6,3,1,13
H1S1-06-04,H1S1,고등수학(상),6,이차방정식과 이차함수,4,이차함수의 그래프와 이차방정식의 실근의 관계,,1,2,5,9,2,19,0,0,4,2,0,6
H1S1-06-05,H1S1,고등수학(상),6,이차방정식과 이차함수,5,이차함수의 최댓값과 최솟값 (1),실수 전체 범위,1,2,6,4,0,13,0,3,14,3,0,20
H1S1-06-06,H1S1,고등수학(상),6,이차방정식과 이차함수,6,이차함수의 최댓값과 최솟값 (2),제한된 범위,0,1,14,7,1,23,1,1,11,2,4,19
H1S1-06-07,H1S1,고등수학(상),6,이차방정식과 이차함수,7,식의 최댓값과 최솟값 (1),,0,0,7,1,2,10,0,0,4,2,1,7
H1S1-06-08,H1S1,고등수학(상),6,이차방정식과 이차함수,8,식의 최댓값과 최솟값 (2),,0,0,8,5,1,14,0,0,7,2,1,10
H1S1-06-09,H1S1,고등수학(상),6,이차방정식과 이차함수,9,식의 최댓값과 최솟값 (3),,0,0,10,1,0,11,0,0,8,0,0,8
H1S1-06-10,H1S1,고등수학(상),6,이차방정식과 이차함수,10,이차함수의 최대·최소의 활용,,0,0,10,8,0,18,2,0,13,4,1,20
H1S1-07-01,H1S1,고등수학(상),7,여러 가지 방정식,1,삼차방정식과 사차방정식,,0,3,32,5,0,40,0,1,8,0,0,9
H1S1-07-02,H1S1,고등수학(상),7,여러 가지 방정식,2,치환을 이용한 사차방정식의 풀이,,0,0,16,1,0,17,0,0,9,0,2,11
H1S1-07-03,H1S1,고등수학(상),7,여러 가지 방정식,3,복이차방정식,,0,0,9,3,0,12,0,0,12,0,0,12
H1S1-07-04,H1S1,고등수학(상),7,여러 가지 방정식,4,계수가 대칭인 사차방정식,,0,1,10,0,0,11,0,0,7,1,0,8
H1S1-07-05,H1S1,고등수학(상),7,여러 가지 방정식,5,근이 주어진 삼·사차방정식,,0,1,12,2,0,15,0,2,8,0,1,11
H1S1-07-06,H1S1,고등수학(상),7,여러 가지 방정식,6,삼차방정식의 근의 판별,,0,0,11,3,1,15,0,0,8,2,1,11
H1S1-07-07,H1S1,고등수학(상),7,여러 가지 방정식,7,삼차방정식의 근과 계수의 관계,,0,0,18,1,1,20,0,0,13,1,0,14
H1S1-07-08,H1S1,고등수학(상),7,여러 가지 방정식,8,삼차방정식의 작성,,0,1,7,2,0,10,0,0,6,0,0,6
H1S1-07-09,H1S1,고등수학(상),7,여러 가지 방정식,9,삼차방정식의 켤레근,,0,0,26,1,0,27,1,2,10,0,0,13
H1S1-07-10,H1S1,고등수학(상),7,여러 가지 방정식,10,방정식 x³=1 과 x³=−1 의 허근의 성질,,0,1,23,14,0,38,4,1,10,2,1,18
H1S1-07-11,H1S1,고등수학(상),7,여러 가지 방정식,11,삼차방정식과 사차방정식의 활용,,0,0,15,1,0,16,0,0,8,0,1,9
H1S1-07-12,H1S1,고등수학(상),7,여러 가지 방정식,12,일차방정식과 이차방정식으로 이루어진 연립방정식,,0,2,18,5,0,25,1,1,8,0,0,10
H1S1-07-13,H1S1,고등수학(상),7,여러 가지 방정식,13,두 이차방정식으로 이루어진 연립방정식,,0,0,25,0,0,25,0,0,10,0,0,10
H1S1-07-14,H1S1,고등수학(상),7,여러 가지 방정식,14,x+y 와 xy 로 이루어진 연립방정식,,0,0,9,3,0,12,0,0,6,1,0,7
H1S1-07-15,H1S1,고등수학(상),7,여러 가지 방정식,15,연립이차방정식의 해의 조건,,0,0,8,2,0,10,0,3,6,0,0,9
H1S1-07-16,H1S1,고등수학(상),7,여러 가지 방정식,16,연립이차방정식의 활용,,0,0,10,3,1,14,0,0,9,0,0,9
H1S1-07-17,H1S1,고등수학(상),7,여러 가지 방정식,17,공통근을 가지는 방정식,,0,1,11,1,0,13,0,1,2,0,0,3
H1S1-07-18,H1S1,고등수학(상),7,여러 가지 방정식,18,정수 및 자연수 조건을 갖는 부정방정식,,0,0,16,3,0,19,2,2,6,0,0,10
H1S1-07-19,H1S1,고등수학(상),7,여러 가지 방정식,19,실수 조건을 갖는 부정방정식,,0,0,8,2,0,10,1,2,3,1,0,7
H1S1-07-20,H1S1,고등수학(상),7,여러 가지 방정식,20,부정방정식의 활용,,0,0,7,2,1,10,0,1,1,0,0,2
H1S1-07-21,H1S1,고등수학(상),7,여러 가지 방정식,21,삼차방정식 f(x)=0 과 f(ax+b)=0 의 관계,,2,2,12,3,0,19,0,0,1,0,0,1
H1S1-08-01,H1S1,고등수학(상),8,여러 가지 부등식,1,부등식의 성질과 풀이,,0,20,11,1,0,32,1,0,6,0,1,8
H1S1-08-02,H1S1,고등수학(상),8,여러 가지 부등식,2,연립일차부등식,,0,0,8,0,1,9,0,0,21,0,0,21
H1S1-08-03,H1S1,고등수학(상),8,여러 가지 부등식,3,A < B < C 형태의 부등식 ,,1,1,7,0,1,10,0,0,11,0,0,11
H1S1-08-04,H1S1,고등수학(상),8,여러 가지 부등식,4,해가 주어진 연립일차부등식,,0,0,6,2,1,9,1,0,10,0,1,12
H1S1-08-05,H1S1,고등수학(상),8,여러 가지 부등식,5,해를 갖거나 갖지 않는 연립일차부등식,,0,0,8,2,0,10,0,0,4,1,0,5
H1S1-08-06,H1S1,고등수학(상),8,여러 가지 부등식,6,정수인 해의 개수가 주어진 연립일차부등식,,0,0,8,3,0,11,0,0,4,0,0,4
H1S1-08-07,H1S1,고등수학(상),8,여러 가지 부등식,7,연립일차부등식의 활용,,0,0,10,0,0,10,0,0,10,0,0,10
H1S1-08-08,H1S1,고등수학(상),8,여러 가지 부등식,8,절댓값 기호가 포함된 일차부등식,,1,15,18,4,0,38,0,4,20,0,1,25
H1S1-08-09,H1S1,고등수학(상),8,여러 가지 부등식,9,특수한 해를 갖는 일차부등식,,0,0,8,1,0,9,0,0,6,0,0,6
H1S1-08-10,H1S1,고등수학(상),8,여러 가지 부등식,10,이차부등식,,0,1,12,1,0,14,0,5,7,0,0,12
H1S1-08-11,H1S1,고등수학(상),8,여러 가지 부등식,11,절댓값 또는 가우스 기호가 포함된 이차부등식,,0,0,11,1,0,12,0,0,8,0,1,9
H1S1-08-12,H1S1,고등수학(상),8,여러 가지 부등식,12,해가 주어진 이차부등식,,0,1,15,4,0,20,2,0,13,0,0,15
H1S1-08-13,H1S1,고등수학(상),8,여러 가지 부등식,13,함수의 그래프와 이차부등식의 해,,3,1,7,1,0,12,6,1,16,0,2,25
H1S1-08-14,H1S1,고등수학(상),8,여러 가지 부등식,14,모든 실수에 대해 성립하는 이차부등식,,0,0,14,3,0,17,0,0,7,3,1,11
H1S1-08-15,H1S1,고등수학(상),8,여러 가지 부등식,15,제한된 범위에서 항상 성립하는 이차부등식,,0,0,7,2,0,9,0,0,7,1,0,8
H1S1-08-16,H1S1,고등수학(상),8,여러 가지 부등식,16,해의 조건이 주어진 이차부등식,,0,0,12,2,0,14,0,0,13,2,5,20
H1S1-08-17,H1S1,고등수학(상),8,여러 가지 부등식,17,부등식 f(x)<0 과 부등식 f(ax+b)<0 의 관계,,0,0,7,3,1,11,0,0,6,2,0,8
H1S1-08-18,H1S1,고등수학(상),8,여러 가지 부등식,18,이차부등식을 이용하여 식의 최댓값·최솟값 구하기,,0,0,10,1,0,11,0,0,1,0,1,2
H1S1-08-19,H1S1,고등수학(상),8,여러 가지 부등식,19,이차부등식의 활용,,0,1,9,0,0,10,1,0,5,0,0,6
H1S1-08-20,H1S1,고등수학(상),8,여러 가지 부등식,20,연립이차부등식,,0,1,15,2,0,18,3,1,9,1,0,14
H1S1-08-21,H1S1,고등수학(상),8,여러 가지 부등식,21,해가 주어진 연립이차부등식,,0,0,8,4,0,12,0,0,9,0,2,11
H1S1-08-22,H1S1,고등수학(상),8,여러 가지 부등식,22,정수인 해의 개수가 주어진 연립부등식,,0,0,9,5,1,15,0,0,5,0,1,6
H1S1-08-23,H1S1,고등수학(상),8,여러 가지 부등식,23,두 이차방정식의 근의 판별,,1,5,8,2,0,16,0,0,3,1,0,4
H1S1-08-24,H1S1,고등수학(상),8,여러 가지 부등식,24,이차방정식의 근의 위치,,0,4,20,2,0,26,0,3,14,4,0,21
H1S1-08-25,H1S1,고등수학(상),8,여러 가지 부등식,25,연립이차부등식의 활용,,0,0,10,0,0,10,0,1,6,3,0,10
H1S1-09-01,H1S1,고등수학(상),9,평면좌표,1,두 점 사이의 거리,,0,4,10,0,0,14,0,0,7,1,1,9
H1S1-09-02,H1S1,고등수학(상),9,평면좌표,2,같은 거리에 있는 점,,0,4,11,2,0,17,1,5,5,2,1,14
H1S1-09-03,H1S1,고등수학(상),9,평면좌표,3,세 변의 길이와 삼각형의 모양 판단,,0,0,11,1,0,12,1,2,5,2,0,10
H1S1-09-04,H1S1,고등수학(상),9,평면좌표,4,거리의 제곱의 합의 최솟값,,0,0,10,1,0,11,0,4,6,2,0,12
H1S1-09-05,H1S1,고등수학(상),9,평면좌표,5,두 점 사이 거리의 활용,,0,0,4,6,0,10,0,0,5,1,0,6
H1S1-09-06,H1S1,고등수학(상),9,평면좌표,6,좌표를 이용한 도형의 성질 판단,,0,0,6,2,0,8,0,0,5,0,0,5
H1S1-09-07,H1S1,고등수학(상),9,평면좌표,7,선분의 내분점과 외분점,,0,7,13,5,0,25,3,3,9,0,0,15
H1S1-09-08,H1S1,고등수학(상),9,평면좌표,8,선분의 내분점과 외분점의 활용,,0,1,8,7,0,16,0,0,16,3,1,20
H1S1-09-09,H1S1,고등수학(상),9,평면좌표,9,삼각형의 무게중심,,2,2,14,1,0,19,4,0,6,0,2,12
H1S1-09-10,H1S1,고등수학(상),9,평면좌표,10,삼각형의 내각의 이등분선,,0,0,6,5,1,12,0,0,8,0,0,8
H1S1-09-11,H1S1,고등수학(상),9,평면좌표,11,사각형에서의 활용,,0,0,11,2,0,13,2,4,4,0,0,10
H1S1-09-12,H1S1,고등수학(상),9,평면좌표,12,중선정리 (파푸스의 정리),,0,1,9,0,0,10,0,0,2,1,0,3
H1S1-10-01,H1S1,고등수학(상),10,직선의 방정식,1,직선의 방정식 (1),기울기와 한 점이 주어진 경우,2,5,8,2,0,17,0,0,10,0,0,10
H1S1-10-02,H1S1,고등수학(상),10,직선의 방정식,2,직선의 방정식 (2),두 점이 주어진 경우,0,3,7,6,0,16,0,2,11,0,0,13
H1S1-10-03,H1S1,고등수학(상),10,직선의 방정식,3,직선의 방정식 (3),x절편과 y절편이 주어진 경우,1,1,6,2,0,10,0,0,8,0,0,8
H1S1-10-04,H1S1,고등수학(상),10,직선의 방정식,4,세 점이 한 직선 위에 있도록 하는 조건,,0,2,9,0,0,11,0,0,9,0,0,9
H1S1-10-05,H1S1,고등수학(상),10,직선의 방정식,5,도형의 넓이를 절반으로 나누는 직선의 방정식,,0,0,11,4,0,15,0,0,8,1,0,9
H1S1-10-06,H1S1,고등수학(상),10,직선의 방정식,6,직선의 개형,,0,3,8,0,0,11,0,0,8,0,1,9
H1S1-10-07,H1S1,고등수학(상),10,직선의 방정식,7,정점을 지나는 직선,,0,1,8,6,1,16,1,2,22,2,1,28
H1S1-10-08,H1S1,고등수학(상),10,직선의 방정식,8,두 직선의 위치 관계,,0,3,15,1,0,19,3,3,13,0,1,20
H1S1-10-09,H1S1,고등수학(상),10,직선의 방정식,9,선분을 수직이등분하는 방정식,,0,0,13,1,0,14,0,0,8,2,1,11
H1S1-10-10,H1S1,고등수학(상),10,직선의 방정식,10,세 직선의 위치 관계,,0,0,3,10,0,13,0,0,10,1,0,11
H1S1-10-11,H1S1,고등수학(상),10,직선의 방정식,11,점과 직선 사이의 거리,,0,5,7,3,1,16,1,2,8,0,0,11
H1S1-10-12,H1S1,고등수학(상),10,직선의 방정식,12,점과 직선 사이 거리의 활용,,0,0,6,10,0,16,0,0,10,4,2,16
H1S1-10-13,H1S1,고등수학(상),10,직선의 방정식,13,평행한 두 직선 사이의 거리,,0,2,10,2,0,14,0,4,7,0,1,12
H1S1-10-14,H1S1,고등수학(상),10,직선의 방정식,14,두 직선이 이루는 각을 이등분하는 방정식,,0,0,8,2,0,10,0,0,6,0,0,6
H1S1-10-15,H1S1,고등수학(상),10,직선의 방정식,15,삼각형의 수심,,0,0,9,1,0,10,0,0,4,1,0,5
H1S1-10-16,H1S1,고등수학(상),10,직선의 방정식,16,자취의 방정식 (1),,0,0,8,2,1,11,0,0,9,0,0,9
H1S1-11-01,H1S1,고등수학(상),11,원의 방정식,1,원의 방정식 (1),중심에 대한 조건이 주어진 경우,6,3,5,2,0,16,1,1,15,0,1,18
H1S1-11-02,H1S1,고등수학(상),11,원의 방정식,2,원의 방정식 (2),두 점을 지름의 양 끝 점으로 하는 경우,0,0,11,2,1,14,1,0,5,0,0,6
H1S1-11-03,H1S1,고등수학(상),11,원의 방정식,3,원의 방정식 (3),지나는 세 점이 주어진 경우,0,1,11,0,0,12,0,0,6,1,1,8
H1S1-11-04,H1S1,고등수학(상),11,원의 방정식,4,방정식이 원을 나타내기 위한 조건,,0,0,7,3,0,10,1,0,8,0,0,9
H1S1-11-05,H1S1,고등수학(상),11,원의 방정식,5,x축 또는 y축에 접하는 원의 방정식,,0,0,10,0,0,10,0,7,10,2,1,20
H1S1-11-06,H1S1,고등수학(상),11,원의 방정식,6,x축과 y축에 동시에 접하는 원의 방정식,,0,0,7,3,0,10,0,3,7,0,1,11
H1S1-11-07,H1S1,고등수학(상),11,원의 방정식,7,원 위의 점과 원 밖의 점 사이의 거리,,0,2,8,2,1,13,0,0,6,0,0,6
H1S1-11-08,H1S1,고등수학(상),11,원의 방정식,8,두 원의 교점을 지나는 원의 방정식,,0,0,10,1,0,11,0,0,10,0,0,10
H1S1-11-09,H1S1,고등수학(상),11,원의 방정식,9,두 원의 교점을 지나는 직선의 방정식,,0,1,8,1,0,10,0,0,7,1,1,9
H1S1-11-10,H1S1,고등수학(상),11,원의 방정식,10,원 위의 점과 직선 사이의 거리,,0,1,8,5,0,14,2,1,7,1,0,11
H1S1-11-11,H1S1,고등수학(상),11,원의 방정식,11,원과 직선의 위치관계 (1),서로 다른 두 점에서 만나는 경우,0,3,9,7,0,19,1,2,9,0,0,12
H1S1-11-12,H1S1,고등수학(상),11,원의 방정식,12,원과 직선의 위치관계 (2),접하는 경우,0,0,6,4,1,11,2,2,7,1,1,13
H1S1-11-13,H1S1,고등수학(상),11,원의 방정식,13,원과 직선의 위치관계 (3),만나지 않는 경우,0,1,5,7,0,13,0,2,8,0,0,10
H1S1-11-14,H1S1,고등수학(상),11,원의 방정식,14,현의 길이,,0,0,10,4,0,14,0,1,12,2,2,17
H1S1-11-15,H1S1,고등수학(상),11,원의 방정식,15,접선의 길이,,1,1,3,5,0,10,1,4,9,2,1,17
H1S1-11-16,H1S1,고등수학(상),11,원의 방정식,16,원의 접선의 방정식 (1),기울기가 주어진 경우,0,1,10,1,0,12,0,1,10,0,1,12
H1S1-11-17,H1S1,고등수학(상),11,원의 방정식,17,원의 접선의 방정식 (2),접점이 주어진 경우,0,1,11,5,0,17,0,0,8,1,0,9
H1S1-11-18,H1S1,고등수학(상),11,원의 방정식,18,원의 접선의 방정식 (3),원 밖의 한 점에서 접선을 그은 경우,0,0,12,9,2,23,0,0,3,4,2,9
H1S1-11-19,H1S1,고등수학(상),11,원의 방정식,19,자취의 방정식,,0,0,13,3,1,17,1,3,8,2,2,16
H1S1-12-01,H1S1,고등수학(상),12,도형의 이동,1,점의 평행이동,,2,7,4,0,1,14,8,1,6,0,1,16
H1S1-12-02,H1S1,고등수학(상),12,도형의 이동,2,도형의 평행이동 (1),직선 또는 포물선,0,3,10,2,0,15,0,1,10,1,0,12
H1S1-12-03,H1S1,고등수학(상),12,도형의 이동,3,도형의 평행이동 (2),원,0,3,6,3,0,12,0,2,15,0,0,17
H1S1-12-04,H1S1,고등수학(상),12,도형의 이동,4,평행이동의 활용,,0,0,11,6,0,17,0,0,8,0,1,9
H1S1-12-05,H1S1,고등수학(상),12,도형의 이동,5,도형의 기본축 대칭이동 (1),점,0,0,3,12,0,15,1,0,6,2,1,10
H1S1-12-06,H1S1,고등수학(상),12,도형의 이동,6,도형의 기본축 대칭이동 (2),직선 또는 포물선,0,1,6,6,0,13,3,4,11,1,0,19
H1S1-12-07,H1S1,고등수학(상),12,도형의 이동,7,도형의 기본축 대칭이동 (3),원,0,1,5,5,0,11,0,2,10,0,0,12
H1S1-12-08,H1S1,고등수학(상),12,도형의 이동,8,대칭이동의 활용,,0,0,3,12,0,15,1,0,5,1,1,8
H1S1-12-09,H1S1,고등수학(상),12,도형의 이동,9,점에 대한 대칭이동,,2,1,7,1,0,11,4,1,4,1,0,10
H1S1-12-10,H1S1,고등수학(상),12,도형의 이동,10,직선 y=ax+b 에 대한 대칭이동,,0,0,8,4,0,12,0,0,9,1,1,11
H1S1-12-11,H1S1,고등수학(상),12,도형의 이동,11,평행이동과 대칭이동의 활용,,0,0,6,6,2,14,1,1,6,1,0,9
H1S1-12-12,H1S1,고등수학(상),12,도형의 이동,12,"f(x, y)=0 그래프의 평행이동과 대칭이동",,0,2,8,3,0,13,0,1,6,3,1,11
H1S1-12-13,H1S1,고등수학(상),12,도형의 이동,13,대칭이동을 이용하여 거리의 최솟값 구하기,,0,2,6,8,1,17,0,0,7,2,1,10
H1S2-01-01,H1S2,고등수학(하),1,집합의 뜻과 표현,1,집합의 뜻,,0,0,0,0,0,0,0,0,0,0,0,0
H1S2-01-02,H1S2,고등수학(하),1,집합의 뜻과 표현,2,집합의 표현,"조건제시법, 원소나열법, 벤다이어그램",0,0,0,0,0,0,0,0,0,0,0,0
H1S2-01-03,H1S2,고등수학(하),1,집합의 뜻과 표현,3,집합과 원소 및 부분집합 사이의 관계,"∈,⊂의 사용",0,2,0,0,0,2,0,0,0,0,0,0
H1S2-01-04,H1S2,고등수학(하),1,집합의 뜻과 표현,4,"유한집합, 무한집합, 공집합",,0,0,0,0,0,0,0,0,0,0,0,0
H1S2-01-05,H1S2,고등수학(하),1,집합의 뜻과 표현,5,유한집합의 원소의 개수,,0,1,1,0,0,2,0,0,0,0,0,0
H1S2-01-06,H1S2,고등수학(하),1,집합의 뜻과 표현,6,조건을 만족시키는 집합 구하기,,0,1,0,2,1,4,0,0,0,0,0,0
H1S2-01-07,H1S2,고등수학(하),1,집합의 뜻과 표현,7,집합 사이의 포함 관계를 이용한 미지수 구하기,,0,0,0,0,0,0,0,0,0,0,0,0
